X,Y,Z,Latitude,Longitude,Altitude
-2418239.6752718035,5385767.575306575,2405765.21308206,22.305570528804342,114.1803461787767,35.761075518094
-2418238.38683882,5385767.94112736,2405765.204015062,22.30557111809589,114.18033331745909,35.57812184095383
-2418240.008144504,5385768.401392514,2405763.8725113412,22.305556278229673,114.18034584195144,36.07562833279371
-2418244.0300165373,5385778.565875261,2405771.7361218934,22.305584548684834,114.18034104305625,49.16317150555551
-2418242.864046825,5385777.272984222,2405772.1079065483,22.305593334423424,114.18033585976752,47.77122677024454
-2418249.3089115717,5385782.510830451,2405772.2228417383,22.30556886886317,114.18037209725344,54.67793277557939
-2418246.3263043654,5385778.3184175985,2405771.3543492015,22.305578908933523,114.1803623568062,49.67961887549609
-2418249.6708681746,5385779.696808724,2405771.685319118,22.30557266861966,114.18038648824033,52.23605516552925
-2418252.487933133,5385774.355205888,2405767.8195399796,22.30555311775299,114.18043266316029,47.3280679769814
-2418250.409608223,5385775.661349676,2405768.226867928,22.305555354737695,114.1804090705892,47.79744614008814
-2418245.285697761,5385777.372495889,2405768.82749356,22.30556221616141,114.18035690413039,47.52785530406982
-2418242.253404843,5385774.092185659,2405766.786556828,22.305559678479675,114.18034309793623,42.83552960585803
-2418242.0094251037,5385775.746096347,2405765.821648934,22.30554678795885,114.18033436317319,43.772743116132915
-2418243.5078783855,5385778.279667244,2405767.742394807,22.30555280978749,114.18033755808331,47.20793930068612
-2418243.2222594847,5385779.306270916,2405768.1034333915,22.305553017227638,114.1803309483748,48.10318428091705
-2418244.665609994,5385782.9834937025,2405769.1787407454,22.30554847698336,114.18032910914582,52.16185713093728
-2418244.1288830405,5385782.021805612,2405768.5238940436,22.305546766377837,114.18032818020798,50.898251003585756
-2418244.9258708004,5385787.474858329,2405770.448359315,22.305544675523663,114.1803135591132,56.53307150211185
-2418245.1457332578,5385782.45635821,2405767.0947650205,22.30553203992437,114.18033545537563,51.10793893877417
-2418245.5252453494,5385784.383918346,2405766.962302023,22.30552437336294,114.18033115284905,52.82834221702069
-2418245.579681062,5385787.198977756,2405767.483927677,22.3055198529714,114.18032044426614,55.42285967897624
-2418245.2676368076,5385792.119565541,2405769.190408208,22.305519162825433,114.18029812113113,60.105266934260726
-2418240.057140071,5385784.302872729,2405766.767366447,22.305530674998884,114.18028306350477,50.61376132257283
-2418239.109211596,5385798.42406333,2405775.1606570636,22.305557976341856,114.1802185362067,65.35845156293362
-2418246.274328031,5385794.4821554385,2405771.6654290315,22.305531040529942,114.18029764196245,63.42016932647675
-2418256.346542219,5385793.2567001,2405771.8191042813,22.305522015425108,114.18039168692485,66.26118179317564
-2418255.7147522494,5385792.656864402,2405773.155065506,22.305535939648568,114.18038847791917,66.02255549840629
-2418255.883110045,5385799.724136511,2405774.3320262562,22.30552343884585,114.18036187439539,72.49783604498953
-2418241.812823763,5385798.776648487,2405767.013918518,22.30548501384964,114.18024107082763,63.5885339314118
-2418247.5186678097,5385811.333074635,2405769.8521369067,22.305461455058886,114.1802416725611,77.4256689902395
-2418248.2426382224,5385803.987710033,2405768.0405607433,22.30546827049214,114.18027728154348,70.81296292226762
-2418250.3793945685,5385806.723024659,2405768.7193724033,22.30546238930611,114.18028532564583,74.18895132280886
-2418246.496699121,5385807.492008215,2405768.473164539,22.305463378883807,114.18024789370052,73.27314313035458
-2418247.901729021,5385811.550178684,2405768.5604863083,22.30544944697546,114.1802442009218,77.26383075676858
-2418254.414602434,5385822.351004818,2405764.2712579663,22.305370696414,114.18025892644386,87.21989661082625
-2418256.834580588,5385821.786419369,2405762.664333094,22.305355638773875,114.18028259576897,87.05056346673518
-2418260.596254991,5385834.978378931,2405768.8328310875,22.305360646346,114.18026345860468,101.95131573360413
-2418260.0625377945,5385834.332288928,2405765.544226338,22.30533594027992,114.18026130174644,99.95559277292341
-2418265.5992298173,5385836.194231194,2405767.1028003646,22.30533536697551,114.18030291846814,104.21680201590061
-2418266.796625915,5385832.55867758,2405763.2336228522,22.305312727251458,114.18032797148678,100.13364282995462
-2418268.279448136,5385836.055536506,2405763.4191110265,22.30530126150494,114.18032719871697,103.71732523851097
-2418274.499178796,5385833.360515692,2405765.3128644894,22.305316777957508,114.18039297740114,104.51852152030915
-2418276.013722156,5385836.087456926,2405766.3146985406,22.305314495366563,114.18039554601026,107.77425174973905
-2418277.3420024277,5385852.096993761,2405777.0399077786,22.30535217964622,114.18034366462649,125.86033883877099
-2418283.3504670486,5385860.882588379,2405783.035185513,22.305366363129508,114.18036193504875,137.82781749311835
-2418281.520557524,5385851.627547431,2405787.99887261,22.305439340237424,114.18038252483926,131.20703675132245
-2418276.725333666,5385849.928542019,2405790.183533699,22.3054696368878,114.1803468250684,128.78505116980523
-2418282.1061772327,5385855.797539719,2405798.4180666325,22.305512528979165,114.18037113299238,138.9029823197052
-2418284.578931223,5385857.742180108,2405803.3288086327,22.305544004824913,114.18038529472723,143.3451829040423
-2418285.4579427172,5385855.749737929,2405806.388722189,22.305574565229964,114.18040099722428,143.15805331710726
-2418286.4670620724,5385852.762347097,2405807.2490139334,22.30558967675451,114.18042180673164,141.34563810098916
-2418287.336785262,5385849.247373901,2405807.73815157,22.305603532720372,114.18044347938512,138.89424953982234
-2418293.4025400826,5385854.695377491,2405810.093257355,22.30559765853738,114.18047552442991,146.68491431232542
-2418296.3681106195,5385856.533663334,2405811.140693424,22.305596498254175,114.18049447193638,149.75781301874667
-2418298.0637929784,5385858.325637427,2405812.337641964,22.30559851473652,114.18050236083927,152.36713230144233
-2418295.540453021,5385852.669805113,2405810.3501283755,22.305603136559068,114.18050250407514,145.88301864266396
-2418296.061553096,5385851.426650987,2405810.8352140863,22.30561034472217,114.18051205932694,145.21538969967514
-2418298.6985775316,5385853.617351436,2405809.398606294,22.30558779037748,114.18052669718469,147.51840949524194
-2418296.2402916364,5385842.107027898,2405802.031286357,22.305565679637425,114.18055068927212,134.07588779181242
-2418298.5023723594,5385849.004203856,2405808.9967485922,22.305599132518086,114.18054329836924,143.3980467915535
-2418297.450386293,5385847.47869509,2405808.6129245358,22.305602172566665,114.18054004905056,141.56617863103747
-2418294.7806454734,5385835.633111535,2405802.086945217,22.305588436131984,114.18056350184683,128.0798923941329
-2418300.080819293,5385844.596275137,2405806.9086165065,22.30559325320026,114.18057479531639,139.48339726682752
-2418313.780766236,5385857.591573646,2405809.5525503443,22.30555547585528,114.18064442563221,156.6466725533828
-2418315.5767745483,5385855.619850949,2405809.0291428515,22.305554746499922,114.18066816421687,155.46451158449054
-2418304.25418854,5385842.480442735,2405808.131376242,22.305604225480312,114.18062015431333,139.74329123739153
-2418304.4732045718,5385836.836349346,2405803.9647989916,22.30558675507784,114.18064452992066,133.48128420114517
