towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
91529000,0.0,0,2390,1,1,2,1,0,15,0
91530000,0.0,0,2390,1,1,2,1,0,15,0
91531000,0.0,0,2390,1,1,2,1,0,15,0
91532000,0.0,0,2390,1,1,2,1,0,15,0
91533000,0.0,0,2390,1,1,2,1,0,15,0
91534000,0.0,0,2390,1,1,2,1,0,15,0
91535000,0.0,0,2390,1,1,2,1,0,15,0
91536000,0.0,0,2390,1,1,2,1,0,15,0
91537000,0.0,0,2390,1,1,2,1,0,15,0
91538000,0.0,0,2390,1,1,2,1,0,15,0
91539000,0.0,0,2390,1,1,2,1,0,15,0
91540000,0.0,0,2390,1,1,2,1,0,15,0
91541000,0.0,0,2390,1,1,2,1,0,15,0
91542000,0.0,0,2390,1,1,2,1,0,15,0
91543000,0.0,0,2390,1,1,2,1,0,15,0
91544000,0.0,0,2390,1,1,2,1,0,15,0
91545000,0.0,0,2390,1,1,2,1,0,15,0
91546000,0.0,0,2390,1,1,2,1,0,15,0
91547000,0.0,0,2390,1,1,2,1,0,15,0
91548000,0.0,0,2390,1,1,2,1,0,15,0
91549000,0.0,0,2390,1,1,2,1,0,15,0
91550000,0.0,0,2390,1,1,2,1,0,15,0
91551000,0.0,0,2390,1,1,2,1,0,15,0
91552000,0.0,0,2390,1,1,2,1,0,15,0
91553000,0.0,0,2390,1,1,2,1,0,15,0
91554000,0.0,0,2390,1,1,2,1,0,15,0
91555000,0.0,0,2390,1,1,2,1,0,15,0
91556000,0.0,0,2390,1,1,2,1,0,15,0
91557000,0.0,0,2390,1,1,2,1,0,15,0
91558000,0.0,0,2390,1,1,2,1,0,15,0
91559000,0.0,0,2390,1,1,2,1,0,15,0
91560000,0.0,0,2390,1,1,2,1,0,15,0
91561000,0.0,0,2390,1,1,2,1,0,15,0
91562000,0.0,0,2390,1,1,2,1,0,15,0
91563000,0.0,0,2390,1,1,2,1,0,15,0
91564000,0.0,0,2390,1,1,2,1,0,15,0
91565000,0.0,0,2390,1,1,2,1,0,15,0
91566000,0.0,0,2390,1,1,2,1,0,15,0
91567000,0.0,0,2390,1,1,2,1,0,15,0
91568000,0.0,0,2390,1,1,2,1,0,15,0
91569000,0.0,0,2390,1,1,2,1,0,15,0
91570000,0.0,0,2390,1,1,2,1,0,15,0
91571000,0.0,0,2390,1,1,2,1,0,15,0
91572000,0.0,0,2390,1,1,2,1,0,15,0
91573000,0.0,0,2390,1,1,2,1,0,15,0
91574000,0.0,0,2390,1,1,2,1,0,15,0
91575000,0.0,0,2390,1,1,2,1,0,15,0
91576000,0.0,0,2390,1,1,2,1,0,15,0
91577000,0.0,0,2390,1,1,2,1,0,15,0
91578000,0.0,0,2390,1,1,2,1,0,15,0
91579000,0.0,0,2390,1,1,2,1,0,15,0
91580000,0.0,0,2390,1,1,2,1,0,15,0
91581000,0.0,0,2390,1,1,2,1,0,15,0
91582000,0.0,0,2390,1,1,2,1,0,15,0
91583000,0.0,0,2390,1,1,2,1,0,15,0
91584000,0.0,0,2390,1,1,2,1,0,15,0
91585000,0.0,0,2390,1,1,2,1,0,15,0
91586000,0.0,0,2390,1,1,2,1,0,15,0
91587000,0.0,0,2390,1,1,2,1,0,15,0
91588000,0.0,0,2390,1,1,2,1,0,15,0
91589000,0.0,0,2390,1,1,2,1,0,15,0
91590000,0.0,0,2390,1,1,2,1,0,15,0
91591000,0.0,0,2390,1,1,2,1,0,15,0
91592000,0.0,0,2390,1,1,2,1,0,15,0
91593000,0.0,0,2390,1,1,2,1,0,15,0
91594000,0.0,0,2390,1,1,2,1,0,15,0
91595000,0.0,0,2390,1,1,2,1,0,15,0
91596000,0.0,0,2390,1,1,2,1,0,15,0
91597000,0.0,0,2390,1,1,2,1,0,15,0
91598000,0.0,0,2390,1,1,2,1,0,15,0
91599000,0.0,0,2390,1,1,2,1,0,15,0
91600000,0.0,0,2390,1,1,2,1,0,15,0
91601000,0.0,0,2390,1,1,2,1,0,15,0
91602000,0.0,0,2390,1,1,2,1,0,15,0
