version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,80,5265,5,7,156,26,148,0,1,0,1,2,0,0,49,4914,6,11,148,5,145,0
0,2,0,0,0,1,2,0,0,80,5265,5,5,145,22,142,0,1,0,1,2,0,0,49,4914,6,12,156,2,149,0
0,2,0,0,0,1,2,0,0,81,5265,6,10,169,1,160,0,1,0,1,2,0,0,50,4914,6,14,163,0,159,0
0,2,0,0,0,1,2,0,0,80,5265,5,4,147,15,137,0,1,0,1,2,0,0,49,4914,5,13,154,0,148,0
0,2,0,0,0,1,2,0,0,80,5265,4,8,151,21,152,0,1,0,1,2,0,0,49,4914,5,15,160,2,154,0
0,2,0,0,0,1,2,0,0,80,5265,5,16,155,22,152,0,1,0,1,2,0,0,49,4914,4,16,153,6,153,0
0,2,0,0,0,1,2,0,0,86,5265,4,11,146,10,149,0,1,0,1,2,0,0,50,4914,5,15,151,0,152,0
0,2,0,0,0,1,2,0,0,86,5265,5,12,151,7,144,0,1,0,1,2,0,0,50,4914,4,5,149,5,146,0
0,2,0,0,0,1,2,0,0,86,5265,3,15,148,26,142,0,1,0,1,2,0,0,50,4914,5,17,150,10,148,0
0,2,0,0,0,1,2,0,0,86,5265,4,16,146,19,143,0,1,0,1,2,0,0,49,4914,6,15,159,5,155,0
0,2,0,0,0,1,2,0,0,80,5265,5,14,149,24,145,0,1,0,1,2,0,0,50,4914,5,8,150,4,147,0
0,2,0,0,0,1,2,0,0,80,5265,5,-1,144,21,143,0,1,0,1,2,0,0,49,4914,7,13,155,0,147,0
0,2,0,0,0,1,2,0,0,85,5265,4,8,167,21,152,0,1,0,1,2,0,0,49,4914,2,18,148,5,142,0
0,2,0,0,0,1,2,0,0,85,5265,8,10,148,2,141,0,1,0,1,2,0,0,47,4914,3,7,151,3,151,0
0,2,0,0,0,1,2,0,0,85,5265,5,14,152,20,148,0,1,0,1,2,0,0,47,4914,7,13,145,0,144,0
0,2,0,0,0,1,2,0,0,85,5265,6,11,151,23,145,0,1,0,1,2,0,0,47,4914,3,15,145,4,143,0
0,2,0,0,0,1,2,0,0,85,5265,6,13,152,27,152,0,1,0,1,2,0,0,47,4914,6,19,153,11,146,0
0,2,0,0,0,1,2,0,0,85,5265,4,8,147,11,143,0,1,0,1,2,0,0,47,4914,6,21,142,8,145,0
0,2,0,0,0,1,2,0,0,85,5265,5,7,155,23,146,0,1,0,1,2,0,0,47,4914,3,15,151,1,146,0
0,2,0,0,0,1,2,0,0,79,5616,5,13,163,18,161,0,1,0,1,2,0,0,47,5265,7,15,160,13,158,0
0,2,0,0,0,1,2,0,0,91,5616,8,12,170,2,164,0,1,0,1,2,0,0,51,5265,5,12,171,3,166,0
0,2,0,0,0,1,2,0,0,91,5616,7,9,166,4,163,0,1,0,1,2,0,0,51,5265,6,12,172,0,168,0
0,2,0,0,0,1,2,0,0,91,5616,7,8,170,6,164,0,1,0,1,2,0,0,51,5265,4,10,171,3,174,0
0,2,0,0,0,1,2,0,0,91,5616,7,13,169,7,163,0,1,0,1,2,0,0,51,5265,4,10,175,2,171,0
0,2,0,0,0,1,2,0,0,84,5616,6,9,168,5,164,0,1,0,1,2,0,0,51,5265,6,10,174,1,171,0
0,2,0,0,0,1,2,0,0,84,5616,7,11,167,4,161,0,1,0,1,2,0,0,51,5265,6,14,172,5,170,0
0,2,0,0,0,1,2,0,0,84,5616,6,11,169,7,165,0,1,0,1,2,0,0,51,5265,8,10,173,2,169,0
0,2,0,0,0,1,2,0,0,84,5616,7,13,172,6,166,0,1,0,1,2,0,0,55,5265,5,12,173,4,170,0
0,2,0,0,0,1,2,0,0,85,5616,8,11,168,4,165,0,1,0,1,2,0,0,54,5265,4,9,173,4,166,0
0,2,0,0,0,1,2,0,0,85,5616,9,9,173,5,162,0,1,0,1,2,0,0,54,5265,4,11,179,2,171,0
0,2,0,0,0,1,2,0,0,91,5616,6,9,171,2,167,0,1,0,1,2,0,0,50,5265,7,11,174,1,173,0
0,2,0,0,0,1,2,0,0,91,5616,10,11,169,3,165,0,1,0,1,2,0,0,50,4914,4,9,152,6,151,0
