version,nPorts,mem,alloc,outputPort,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04,portId_05,txPending_05,txBytes_05,txUsage_05,txPeakUsage_05,rxPending_05,rxBytes_05,rxUsage_05,rxPeakUsage_05,overrunErrs_05,msgs_05_01,msgs_05_02,msgs_05_03,msgs_05_04,reserved1_05,skipped_05
0,5,0,0,0,0,0,1,5,6,256,0,271777,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2202979,0,4,0,1722493,4,7,0,8139,0,0,0,0,174,768,0,1067662,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1709936,9,10,0,1593355,4,6,0,8931,0,0,0,0,0,513,0,269985,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,273430,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2211156,0,4,0,1729705,3,7,0,8174,0,0,0,0,174,768,0,1077451,21,69,0,408,0,0,0,27,0,0,0,0,0,257,2260,1714912,9,10,0,1601532,3,6,0,8978,0,0,0,0,0,513,0,271638,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,275133,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2219019,0,4,0,1736304,5,7,0,8201,0,0,0,0,174,768,0,1086986,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1723736,9,10,0,1609395,3,6,0,9024,0,0,0,0,0,513,0,273341,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,276824,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2227246,0,4,0,1743266,3,7,0,8234,0,0,0,0,174,768,0,1096933,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1730804,9,10,0,1617622,5,6,0,9072,0,0,0,0,0,513,0,275032,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,278527,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2235485,0,4,0,1749758,3,7,0,8261,0,0,0,0,174,768,0,1106536,21,69,0,408,0,0,0,27,0,0,0,0,0,257,2772,1735108,9,10,0,1625861,4,6,0,9120,0,0,0,0,0,513,0,276735,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,280230,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2243724,0,4,0,1757347,5,7,0,8298,0,0,0,0,174,768,0,1116947,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1744772,9,10,0,1634100,5,6,0,9168,0,0,0,0,0,513,0,278438,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,281933,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2251731,0,4,0,1763837,4,7,0,8325,0,0,0,0,174,768,0,1126598,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1751336,9,10,0,1642107,4,6,0,9215,0,0,0,0,0,513,0,280141,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,283636,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2259826,0,4,0,1771068,4,7,0,8361,0,0,0,0,174,768,0,1136669,20,69,0,408,0,0,0,27,0,0,0,0,0,257,2260,1756396,9,10,0,1650202,3,6,0,9262,0,0,0,0,0,513,0,281844,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,285339,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2267833,0,4,0,1777819,5,7,0,8388,0,0,0,0,174,768,0,1146338,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1765220,9,10,0,1658209,4,6,0,9309,0,0,0,0,0,513,0,283547,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,287042,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2275840,0,4,0,1785192,4,7,0,8425,0,0,0,0,174,768,0,1156711,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1772624,9,10,0,1666216,3,6,0,9356,0,0,0,0,0,513,0,285250,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,288745,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2283847,0,4,0,1791571,4,7,0,8452,0,0,0,0,174,768,0,1166404,21,69,0,408,0,0,0,27,0,0,0,0,0,257,2772,1776928,9,10,0,1674223,4,6,0,9403,0,0,0,0,0,513,0,286953,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,290448,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2291942,0,4,0,1799759,5,7,0,8495,0,0,0,0,174,768,0,1177281,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1787096,9,10,0,1682318,3,6,0,9450,0,0,0,0,0,513,0,288656,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,292151,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2299949,0,4,0,1806216,4,7,0,8522,0,0,0,0,174,768,0,1186950,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1793660,9,10,0,1690325,4,6,0,9497,0,0,0,0,0,513,0,290359,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,293854,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2308188,0,4,0,1813217,4,7,0,8557,0,0,0,0,174,768,0,1196955,21,69,0,408,0,0,0,27,0,0,0,0,0,257,3284,1797612,9,10,0,1698564,3,6,0,9545,0,0,0,0,0,513,0,292062,18,18,0,0,0,0,0,0,0,0,0,0,0
