iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
91544000,91530,181838,1034,4,1,1,1,9
91545000,91531,181655,1034,4,1,1,1,9
91546000,91532,181473,1034,4,1,1,1,9
91547000,91533,181291,1034,4,1,1,1,9
91548000,91534,181109,1034,4,1,1,1,9
91549000,91535,180926,1034,4,1,1,1,10
91550000,91536,180744,1034,4,1,1,1,10
91551000,91537,180562,1034,4,1,1,1,10
91552000,91538,180378,1034,4,1,1,1,10
91553000,91539,180196,1034,4,1,1,1,10
91554000,91540,180014,1034,4,1,1,1,10
91555000,91541,179831,1034,4,1,1,1,10
91556000,91542,179648,1034,4,1,1,1,10
91557000,91543,179465,1034,4,1,1,1,11
91558000,91544,179282,1034,4,1,1,1,11
91559000,91545,179099,1034,4,1,1,1,11
91560000,91546,178916,1034,4,1,1,1,11
91561000,91547,178731,1034,4,1,1,1,11
91562000,91548,178548,1034,4,1,1,1,11
91563000,91549,178366,1034,4,1,1,1,11
91564000,91550,178183,1034,4,1,1,1,11
91565000,91551,178001,1034,4,1,1,1,11
91566000,91552,177818,1034,4,1,1,1,11
91567000,91553,177634,1034,4,1,1,1,11
91568000,91554,177449,1034,4,1,1,1,11
91569000,91555,177264,1034,4,1,1,1,11
91570000,91556,177080,1034,4,1,1,1,11
91571000,91557,176896,1034,4,1,1,1,11
91572000,91558,176712,1034,4,1,1,1,11
91573000,91559,176528,1034,4,1,1,1,11
91574000,91560,176344,1034,4,1,1,1,11
91575000,91561,176159,1034,4,1,1,1,11
91576000,91562,175973,1034,4,1,1,1,11
91577000,91563,175790,1034,4,1,1,1,11
91578000,91564,175607,1034,4,1,1,1,11
91579000,91565,175426,1034,4,1,1,1,11
91580000,91566,175246,1034,4,1,1,1,11
91581000,91567,175066,1034,4,1,1,1,11
91582000,91568,174886,1034,4,1,1,1,11
91583000,91569,174704,1034,4,1,1,1,11
91584000,91570,174526,1034,4,1,1,1,11
91585000,91571,174347,1034,4,1,1,1,11
91586000,91572,174167,1034,4,1,1,1,11
91587000,91573,173985,1034,4,1,1,1,11
91588000,91574,173805,1034,4,1,1,1,11
91589000,91575,173624,1034,4,1,1,1,11
91590000,91576,173444,1034,4,1,1,1,11
91591000,91577,173264,1034,4,1,1,1,10
91592000,91578,173085,1034,4,1,1,1,10
91593000,91579,172905,1034,4,1,1,1,10
91594000,91580,172724,1034,4,1,1,1,10
91595000,91581,172544,1034,4,1,1,1,10
91596000,91582,172363,1034,4,1,1,1,10
91597000,91583,172182,1034,4,1,1,1,10
91598000,91584,172001,1034,4,1,1,1,10
91599000,91585,171819,1034,4,1,1,1,10
91600000,91586,171638,1034,4,1,1,1,10
91601000,91587,171457,1034,4,1,1,1,10
91602000,91588,171276,1034,4,1,1,1,10
91603000,91589,171093,1034,4,1,1,1,10
91604000,91590,170912,1034,4,1,1,1,10
91605000,91591,170730,1034,4,1,1,1,10
91606000,91592,170549,1034,4,1,1,1,10
91607000,91593,170366,1034,4,1,1,1,10
91608000,91594,170184,1034,4,1,1,1,11
91609000,91595,170002,1034,4,1,1,1,10
91610000,91596,169819,1034,4,1,1,1,10
91611000,91597,169637,1034,4,1,1,1,10
91612000,91598,169455,1034,4,1,1,1,10
91613000,91599,169271,1034,4,1,1,1,10
91614000,91600,169087,1034,4,1,1,1,10
91615000,91601,168904,1034,4,1,1,1,10
91616000,91602,168719,1034,4,1,1,1,10
91617000,91603,168535,1034,4,1,1,1,10
91618000,91604,168351,1034,4,1,1,1,10
91619000,91605,168167,1034,4,1,1,1,10
91620000,91606,167985,1034,4,1,1,1,10
91621000,91607,167801,1034,4,1,1,1,10
91622000,91608,167618,1034,4,1,1,1,10
91623000,91609,167435,1034,4,1,1,1,10
91624000,91610,167255,1034,4,1,1,1,10
91625000,91611,167075,1034,4,1,1,1,10
91626000,91612,166897,1034,4,1,1,1,10
91627000,91613,166720,1034,4,1,1,1,10
91628000,91614,166543,1034,4,1,1,1,10
91629000,91615,166366,1034,4,1,1,1,10
91630000,91616,166189,1034,4,1,1,1,10
