version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,91633000,-241822378.9,538574723.03,240578632.3,0,4660.8
0,0,91634000,-241822269.95,538574825.72,240578632.8,0,4577.3
0,0,91635000,-241822131.78,538574896.62,240578609.21,0,4525.5
0,0,91636000,-241822019.36,538574951.8,240578574.46,0,4458.400000000001
0,0,91637000,-241821925.96,538574981.41,240578524.12,0,4385.2
0,0,91638000,-241821841.69,538575029.91,240578469.54,0,4312.8
0,0,91639000,-241821770.4,538575093.98,240578413.13,0,4245.3
0,0,91640000,-241821697.64,538575179.54,240578364.83,0,4176.400000000001
0,0,91641000,-241821612.71,538575228.09,240578293.23,0,4122.8
0,0,91642000,-241821541.63,538575289.41,240578230.4,0,4116.2
0,0,91643000,-241821459.18,538575350.45,240578166.38,0,4076.9
0,0,91644000,-241821386.27,538575411.94,240578100.56,0,4042.9
0,0,91645000,-241821309.38,538575464.53,240578029.57,0,4007.0
0,0,91646000,-241821247.04,538575525.61,240577961.16,0,3977.3
0,0,91647000,-241821176.16,538575598.12,240577894.53,0,3949.1
0,0,91648000,-241821116.88,538575674.58,240577827.32,0,3931.7
0,0,91649000,-241821036.05,538575742.13,240577754.84,0,3914.2
0,0,91650000,-241820953.65,538575808.69,240577689.76,0,3898.1
0,0,91651000,-241820865.91,538575874.95,240577626.38,0,3865.2
0,0,91652000,-241820793.35,538575944.79,240577564.17,0,3835.6
0,0,91653000,-241820726.31,538576011.87,240577502.44,0,3813.5
0,0,91654000,-241820675.49,538576060.15,240577441.76,0,3794.4
0,0,91655000,-241820682.07,538576081.42,240577373.13,0,3776.2
0,0,91656000,-241820724.56,538576119.51,240577285.96,0,3729.1
0,0,91657000,-241820762.69,538576176.08,240577184.96,0,3673.5
0,0,91658000,-241820757.96,538576234.89,240577060.1,0,3627.1
0,0,91659000,-241820748.25,538576300.55,240576936.29,0,3584.2
0,0,91660000,-241820741.99,538576381.02,240576821.87,0,3537.8
0,0,91661000,-241820735.31,538576455.33,240576706.15,0,3490.1
0,0,91662000,-241820717.02,538576534.42,240576593.36,0,3432.8
0,0,91663000,-241820679.83,538576595.91,240576501.21,0,3377.9
0,0,91664000,-241820614.17,538576620.29,240576463.4,0,3340.0
0,0,91665000,-241820547.89,538576585.33,240576471.85,0,3325.6
0,0,91666000,-241820531.51,538576570.22,240576489.18,0,3323.9
0,0,91667000,-241820527.97,538576564.89,240576493.24,0,3340.3
0,0,91668000,-241820533.26,538576554.23,240576490.98,0,3388.4
0,0,91669000,-241820521.65,538576547.35,240576489.92,0,3394.2
0,0,91670000,-241820512.92,538576541.31,240576488.01,0,3419.5
0,0,91671000,-241820506.54,538576542.77,240576488.67,0,3424.8
0,0,91672000,-241820503.56,538576561.62,240576494.59,0,3420.1
0,0,91673000,-241820512.78,538576585.4,240576502.61,0,3404.6
0,0,91674000,-241820516.09,538576594.69,240576507.02,0,3392.8
0,0,91675000,-241820523.27,538576610.67,240576512.87,0,3377.0
0,0,91676000,-241820530.19,538576629.99,240576519.6,0,3357.4
0,0,91677000,-241820535.87,538576648.39,240576526.83,0,3339.6
0,0,91678000,-241820546.39,538576671.47,240576535.29,0,3324.6
0,0,91679000,-241820557.55,538576694.88,240576544.18,0,3309.9
0,0,91680000,-241820556.33,538576704.24,240576547.29,0,3294.4
0,0,91681000,-241820557.29,538576717.55,240576553.39,0,3282.0
0,0,91682000,-241820561.72,538576734.17,240576560.56,0,3268.8
0,0,91683000,-241820563.61,538576743.37,240576566.28,0,3253.6
0,0,91684000,-241820569.72,538576752.03,240576570.32,0,3247.9
0,0,91685000,-241820575.7,538576761.97,240576574.25,0,3248.9
