version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,91620000,3864,5677,15924,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91621000,3847,5647,15611,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91622000,6410,7305,16015,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91623000,29855,30739,48059,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91624000,29618,31033,44557,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91625000,28853,31094,45389,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91626000,26846,29648,44421,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91627000,25020,28087,43311,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91628000,23833,27309,43224,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91629000,22279,25942,42012,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91630000,22261,26217,43238,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91631000,21935,26147,43782,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91632000,20718,25338,43207,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91633000,19561,24558,42570,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91634000,18907,24125,42377,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91635000,18206,23610,42030,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91636000,17308,22754,41114,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91637000,16266,21691,39854,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91638000,15692,21250,39612,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91639000,15078,20666,39073,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91640000,14511,20111,38485,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91641000,14154,19821,38436,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91642000,13934,19755,38822,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91643000,13442,19242,38017,0,0,0,0,0,0,0
