msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,50,55,12,27,21,69,318,14,0,0,30,0
1,1,52,55,12,27,21,69,319,14,0,0,31,0
1,1,51,55,12,27,21,69,320,14,0,0,31,0
1,1,51,55,12,27,21,69,321,14,0,0,32,0
1,1,53,55,12,27,21,69,322,14,0,0,30,0
1,1,54,55,12,27,21,69,323,14,0,0,30,0
1,1,53,55,12,27,21,69,324,14,0,0,32,0
1,1,54,55,12,27,21,69,325,14,0,0,30,0
1,1,54,55,12,27,21,69,326,14,0,0,30,0
1,1,53,55,12,27,21,69,327,14,0,0,30,0
1,1,53,55,12,27,21,69,328,14,0,0,31,0
1,1,54,55,12,27,21,69,329,14,0,0,31,0
1,1,55,55,12,27,21,69,330,14,0,0,32,0
1,1,55,55,12,27,21,69,331,14,0,0,30,0
1,1,54,55,12,27,21,69,332,14,0,0,30,0
1,1,52,55,12,27,21,69,333,14,0,0,31,0
1,1,55,55,12,27,20,69,334,14,0,0,31,0
1,1,57,57,12,27,21,69,335,14,0,0,31,0
1,1,54,57,12,27,21,69,336,14,0,0,31,0
1,1,55,57,12,27,21,69,337,14,0,0,32,0
1,1,54,57,12,27,21,69,338,14,0,0,30,0
1,1,53,57,12,27,21,69,339,14,0,0,31,0
1,1,54,57,12,27,21,69,340,14,0,0,31,0
1,1,52,57,12,27,21,69,341,14,0,0,30,0
1,1,50,57,12,27,20,69,342,14,0,0,31,0
1,1,43,57,12,27,20,69,343,14,0,0,30,0
1,1,43,57,12,27,19,69,344,14,0,0,30,0
1,1,47,57,12,27,20,69,345,14,0,0,29,0
1,1,52,57,12,27,21,69,346,14,0,0,30,0
1,1,53,57,12,27,20,69,347,14,0,0,29,0
1,1,58,58,12,27,21,69,348,14,0,0,30,0
1,1,54,58,12,27,21,69,349,14,0,0,27,0
1,1,52,58,12,27,21,69,350,14,0,0,31,0
1,1,52,58,12,27,20,69,351,14,0,0,30,0
1,1,52,58,12,27,20,69,352,14,0,0,30,0
1,1,54,58,12,27,20,69,353,14,0,0,28,0
1,1,53,58,12,27,20,69,354,14,0,0,31,0
1,1,53,58,12,27,21,69,355,14,0,0,33,0
1,1,53,58,12,27,21,69,356,14,0,0,30,0
1,1,53,58,12,27,19,69,357,14,0,0,29,0
1,1,54,58,12,27,21,69,358,14,0,0,27,0
1,1,54,58,12,27,21,69,359,14,0,0,29,0
1,1,53,58,12,27,21,69,360,14,0,0,32,0
1,1,53,58,12,27,21,69,361,14,0,0,30,0
1,1,53,58,12,27,20,69,362,14,0,0,28,0
1,1,53,58,12,27,21,69,363,14,0,0,29,0
1,1,52,58,12,27,21,69,364,14,0,0,27,0
1,1,53,58,12,27,21,69,365,14,0,0,27,0
1,1,52,58,12,27,21,69,366,14,0,0,30,0
1,1,54,58,12,27,20,69,367,14,0,0,30,0
1,1,54,58,12,27,21,69,368,14,0,0,32,0
1,1,54,58,12,27,20,69,369,14,0,0,29,0
1,1,54,58,12,27,21,69,370,14,0,0,31,0
1,1,55,58,12,27,20,69,371,14,0,0,29,0
1,1,53,58,12,27,21,69,372,14,0,0,30,0
1,1,51,58,12,27,21,69,373,14,0,0,30,0
1,1,51,58,12,27,21,69,374,14,0,0,28,0
1,1,51,58,12,27,20,69,375,14,0,0,32,0
1,1,52,58,12,27,21,69,376,14,0,0,31,0
1,1,54,58,12,27,21,69,377,14,0,0,29,0
1,1,52,58,12,27,21,69,378,14,0,0,29,0
1,1,54,58,12,27,21,69,379,14,0,0,31,0
1,1,54,58,12,27,20,69,380,14,0,0,30,0
1,1,56,58,12,27,20,69,381,14,0,0,27,0
1,1,56,58,12,27,21,69,382,14,0,0,30,0
1,1,57,58,12,27,21,69,383,14,0,0,31,0
1,1,55,58,12,27,21,69,384,14,0,0,30,0
1,1,53,58,12,27,21,69,385,14,0,0,29,0
1,1,52,58,12,27,21,69,386,14,0,0,30,0
1,1,49,58,12,27,21,69,387,14,0,0,30,0
1,1,50,58,12,27,21,69,388,14,0,0,30,0
1,1,52,58,12,27,21,69,389,14,0,0,29,0
1,1,53,58,12,27,21,69,390,14,0,0,30,0
1,1,54,58,12,27,20,69,391,14,0,0,27,0
1,1,57,58,12,27,21,69,392,14,0,0,30,0
1,1,57,58,12,27,21,69,393,14,0,0,29,0
1,1,57,58,12,27,21,69,394,14,0,0,31,0
1,1,54,58,12,27,21,69,395,14,0,0,30,0
1,1,53,58,12,27,21,69,396,14,0,0,30,0
1,1,51,58,12,27,21,69,397,14,0,0,28,0
1,1,51,58,12,27,21,69,398,14,0,0,31,0
1,1,52,58,12,27,21,69,399,14,0,0,27,0
1,1,51,58,12,27,21,69,400,14,0,0,28,0
1,1,51,58,12,27,21,69,401,14,0,0,31,0
1,1,50,58,12,27,21,69,402,14,0,0,29,0
1,1,52,58,12,27,21,69,403,14,0,0,31,0
1,1,51,58,12,27,21,69,404,14,0,0,30,0
1,1,51,58,12,27,21,69,405,14,0,0,29,0
1,1,51,58,12,27,21,69,406,14,0,0,29,0
1,1,51,58,12,27,21,69,407,14,0,0,30,0
1,1,50,58,12,27,21,69,408,14,0,0,30,0
1,1,52,58,12,27,21,69,409,14,0,0,29,0
1,1,51,58,12,27,21,69,410,14,0,0,31,0
1,1,51,58,12,27,21,69,411,14,0,0,30,0
1,1,53,58,12,27,21,69,412,14,0,0,30,0
1,1,51,58,12,27,21,69,413,14,0,0,29,0
